ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
9.5651,252.9975,13466.6816,6.734,262.7426,372.2402,12.0572,73.1266,2.8997,0
6.3951,201.0804,11734.264,7.3166,353.3605,398.0206,18.1003,81.7681,3.4363,1
7.1282,197.5018,15259.8143,4.0198,,502.7563,16.6164,76.704,3.026,1
7.679,154.9333,16348.2062,8.7625,341.8144,451.9619,12.1128,,3.3129,1
5.9203,206.6097,19226.9005,6.4643,342.9963,345.4001,16.9409,122.2257,4.7615,1
7.083,216.2734,17751.9701,7.3856,390.8431,308.0227,17.7803,70.8389,5.5684,1
7.0787,182.4077,25847.6248,4.9474,320.7519,427.7101,14.5819,81.7487,5.0814,1
4.5006,194.8409,28694.9121,10.8656,268.6473,483.8865,10.5602,77.7158,4.4544,0
8.576,174.0386,12462.6018,8.1054,,291.0382,10.3901,62.3196,3.1934,0
7.9627,219.8537,32714.9503,4.0972,368.8739,466.0823,13.8539,82.4196,3.7966,0
6.1606,239.5656,24010.2409,6.2077,311.0742,442.2565,15.2139,58.6773,3.7357,1
,208.1389,21830.3525,6.6458,377.1428,453.0414,5.8833,46.7933,5.7019,0
7.8228,212.4112,29297.753,5.6219,377.3662,588.2941,16.6847,76.3893,4.6246,0
6.6958,197.4675,20998.1352,5.0109,284.565,453.5878,15.9639,91.1503,3.878,1
6.7232,174.6839,34532.8485,5.0683,295.5772,529.4202,19.7899,47.4496,4.0029,0
4.9437,170.3972,11160.7637,5.7968,282.2758,432.1727,13.5458,80.3342,3.8605,0
7.8952,182.4774,32528.3746,7.4054,,546.5154,13.2879,78.3271,3.9572,0
7.2621,199.5481,17653.3574,7.5215,258.6218,389.9722,15.631,56.0052,3.723,1
7.4835,195.5519,28294.9757,9.1719,292.2004,427.5511,9.8489,53.5257,3.9166,0
4.836,228.9854,17892.1159,6.8808,,441.3324,14.5855,21.5173,4.0195,0
9.5065,220.0465,36497.6277,3.5711,380.6025,462.0042,8.4795,60.3092,5.9882,0
7.3069,244.5282,25237.1856,6.9056,379.6459,426.8749,11.6269,80.0546,3.3838,1
6.5109,221.242,28469.3362,8.8699,349.1404,293.5392,14.7472,86.2329,5.1643,0
10.0627,187.8229,12508.0555,5.2613,,470.5221,14.2618,104.7541,3.5077,0
7.0133,198.9869,8835.6226,7.4199,378.8922,465.4955,10.5676,74.1238,6.4031,0
4.9475,142.5996,23991.0206,7.6538,352.4527,554.3582,15.6706,59.8322,4.799,0
,250.5437,35229.0376,5.5127,324.4977,381.6535,14.2283,85.5599,4.2924,1
3.7162,176.7495,23322.3181,6.803,343.6045,476.1245,16.3795,85.0243,3.6389,0
8.6226,182.4747,8966.8008,5.5173,358.0102,557.0394,11.9037,,3.6451,0
,255.5669,36872.6978,9.4215,359.9418,448.9676,13.1696,71.6629,4.0547,0
5.9884,160.6955,17386.3828,8.1631,342.4827,348.1539,15.7355,58.5245,2.8396,0
8.6565,175.6309,28570.7505,7.2185,,328.128,10.4347,100.5721,5.2711,0
4.6529,193.8183,14698.9148,8.2259,337.3131,375.6382,15.4001,73.6653,3.1215,0
7.8671,176.8685,15629.578,8.2061,360.3772,451.3152,11.3806,81.9199,4.4422,1
4.0453,198.8687,24439.9743,5.7696,288.7793,330.9463,19.8214,57.9062,5.1314,0
6.1066,203.9847,320.0,5.0432,303.4179,479.065,11.4708,65.1648,2.896,0
5.3098,216.7598,13089.532,4.8554,351.7129,331.7675,16.1214,34.8575,3.3608,0
9.2291,192.4491,18125.4482,5.1144,361.1596,464.8865,7.4704,62.1233,3.3017,0
9.6763,218.7148,18207.7948,8.4302,324.539,488.6034,13.2779,99.8992,5.0279,0
